Test Set #1
16 to  4: 4
 7 to 14: 3
11 to 14: 2
15 to  9: 4
16 to  9: 1
 5 to  2: 3
17 to 11: 2
 5 to  8: 2

Test Set #29
 8 to 13: 3
 7 to  6: 3
 1 to  9: 1
10 to 12: 4
 2 to 12: 3
15 to  1: 3
16 to 17: 2
 7 to 20: 1
 4 to 16: 2
11 to  6: 3
19 to  8: 2
 2 to  8: 4
17 to  9: 2
19 to  3: 2
 8 to  5: 4
 7 to  2: 3
11 to  3: 2
15 to 19: 2
10 to 20: 2
 8 to 11: 4
12 to 13: 3
20 to 19: 3
18 to  5: 1
13 to 12: 3
 7 to 18: 2
 9 to 11: 2
15 to  2: 3
11 to 20: 4
 8 to  9: 4
 4 to  6: 1
 8 to  9: 4
17 to 14: 4
 5 to 16: 3
14 to  9: 3
10 to 13: 2
20 to 11: 4
 7 to 14: 2
19 to 10: 1
 6 to  9: 3
 7 to  2: 3

Test Set #30
 5 to 20: 3
 5 to  2: 1
13 to  1: 3
18 to 15: 2
 5 to 10: 1
 8 to  9: 2
 9 to 12: 3
 1 to  2: 2
17 to  1: 4
 7 to  6: 2
 2 to  3: 1
11 to 12: 2
17 to  1: 4
17 to  3: 3
 8 to  4: 1
11 to  9: 1
16 to  5: 3
17 to 18: 3
 4 to  5: 4
13 to  7: 3

Test Set #31
13 to 15: 4
 7 to  1: 5
15 to 20: 3
 5 to 10: 1
 6 to 10: 2
 6 to  2: 2
 7 to 18: 4
 4 to  8: 4
14 to  2: 3
14 to 20: 3
18 to 19: 4
17 to  4: 5
14 to 11: 2
 8 to 12: 3
19 to 12: 3
13 to 20: 3
 6 to 12: 4
 1 to 19: 4
11 to  6: 3
 8 to  6: 3
10 to  9: 2
15 to  2: 2
 1 to  8: 4
 1 to 14: 3
 2 to  6: 2
20 to  6: 3
 3 to 18: 3
 6 to 12: 4
14 to  8: 2
15 to 20: 3
 3 to  4: 1
18 to 17: 1
 9 to  5: 1
18 to 12: 3
17 to  2: 4
11 to  8: 2
 3 to 20: 2
 8 to 11: 2
15 to 17: 2
10 to 17: 3
 4 to 14: 4
11 to 17: 3
 9 to 14: 1
12 to  5: 3
 8 to  2: 3
 8 to  3: 4
 5 to 20: 2
 6 to 10: 2
 4 to  8: 4
 4 to 18: 4
18 to 11: 2
17 to 19: 5
 3 to 14: 3
20 to 10: 1

Test Set #32
19 to  6: 2
 8 to 20: 3
 7 to 20: 2
 5 to  2: 2
 3 to 14: 3
 9 to  6: 1
14 to 19: 3
 5 to 12: 3
 7 to 12: 2
16 to  8: 3
18 to 20: 2
10 to 15: 1
 8 to 16: 3
13 to 18: 1
 3 to  6: 3
 2 to 20: 2
17 to 11: 3
 1 to  2: 1
14 to 19: 3
20 to  3: 3
15 to 17: 3
12 to  4: 4
19 to  4: 3
19 to  4: 3
13 to 14: 2
18 to  4: 3
 4 to 12: 4
10 to 13: 4
14 to 18: 3
 6 to 20: 3
12 to 13: 2
19 to  2: 1
 4 to  2: 2
20 to 11: 1
 5 to 20: 2
 3 to  1: 4
19 to 17: 3
11 to 18: 2
10 to  5: 2
11 to 18: 2
 1 to 16: 1
19 to 18: 3
 6 to 17: 1
18 to 19: 3
12 to 15: 2
 4 to 19: 3
 7 to 19: 1
 9 to 13: 2
11 to  9: 1
 6 to  4: 2
 3 to 11: 2
10 to  6: 3
 8 to  4: 3
19 to  1: 2
15 to 18: 3
 6 to  5: 2

Test Set #33
 1 to 10: 2
13 to  9: 2
 5 to 12: 4
 5 to 10: 5
18 to 12: 2
 5 to 11: 5
 1 to 17: 4
 7 to  6: 3
10 to 13: 1
 9 to 13: 2
18 to 13: 2
 6 to  2: 4
 3 to  8: 1

Test Set #34
 5 to 15: 3
 1 to 17: 3
15 to 17: 3
12 to  7: 2
 2 to  6: 2
16 to 17: 2
19 to 20: 5
13 to  8: 2
17 to  4: 2
19 to 17: 3
 6 to 11: 2
17 to  2: 2
 6 to 16: 1
 4 to 10: 3
 1 to  2: 3
15 to 20: 5
19 to 11: 3
13 to 17: 1
19 to  5: 4
17 to 12: 3
 1 to  9: 3
 1 to 20: 3
 7 to  1: 2
19 to 12: 4
 1 to  8: 2
16 to  6: 1
17 to  8: 1
 8 to 10: 2
15 to 16: 2
 4 to 11: 2
 9 to  6: 2
 1 to 17: 3
15 to  4: 3
13 to 18: 3
 4 to 12: 3
 6 to  7: 1
18 to  2: 2
 2 to 13: 3
10 to 17: 3
16 to 11: 2
19 to 16: 4
 9 to 12: 2
10 to 18: 3
13 to  3: 2
12 to  3: 2
15 to  5: 3
 5 to 19: 4
 6 to  1: 3
17 to 13: 1
 2 to 11: 4

Test Set #35
16 to  7: 1
19 to 11: 1
 2 to 18: 4
19 to  5: 5
 1 to 11: 4
 4 to 15: 4
 7 to 14: 2
15 to 17: 2
 1 to 13: 3
 4 to 11: 2
18 to  1: 2
13 to  9: 4
17 to 13: 1

Test Set #36
17 to  8: 1
 9 to 13: 4
18 to  6: 2
 1 to  5: 1
15 to 12: 2
 6 to 14: 3
 6 to 15: 2
 2 to 18: 3
18 to  7: 1
20 to 12: 3
 6 to 13: 1
20 to 17: 3
 4 to 17: 2
 1 to 11: 2
 2 to  3: 1
 3 to  7: 2
 4 to 13: 3
 9 to 17: 3
12 to  1: 2
10 to  5: 1
15 to  2: 4
20 to 11: 1
20 to  1: 2
 5 to  7: 3
12 to 17: 2
 1 to  4: 1
18 to 20: 3
20 to  8: 3
 4 to 20: 1
 2 to 20: 3
14 to  6: 3
11 to  6: 1
 1 to  4: 1
 6 to  4: 2
14 to  9: 3
 9 to 15: 3
16 to  9: 4
19 to  8: 4
 4 to 18: 2
13 to  6: 1
 8 to  2: 1
 9 to 20: 2
19 to 16: 1
16 to  2: 5
12 to  8: 3
19 to  1: 3
17 to 16: 3
17 to  4: 2
 2 to  4: 3
12 to  7: 1
18 to 20: 3
15 to 12: 2
12 to  7: 1
 2 to 20: 3
13 to 16: 1
10 to  5: 1
15 to  2: 4
 2 to 13: 4
13 to  8: 3
 3 to 18: 2
13 to 18: 3
20 to  9: 2
 6 to 18: 2
 4 to 16: 3
16 to 12: 3
 1 to 20: 2
 3 to 15: 3
11 to  7: 1
14 to 12: 1
 1 to 14: 3
 8 to 16: 4
19 to  2: 4
16 to  1: 3
 1 to  4: 1
 4 to 15: 2
14 to  6: 3
 5 to  4: 2
 8 to  3: 2
 8 to  1: 1
 3 to 15: 3
 4 to 15: 2
 9 to 11: 2
10 to 16: 4
 8 to 19: 4
19 to  4: 2

Test Set #37
19 to 16: 1
 4 to 10: 2
16 to 14: 4
12 to  6: 4
18 to  8: 5
 6 to  8: 4
16 to  4: 2
 2 to  4: 2
 5 to 10: 5
11 to  1: 2
11 to  8: 4
 6 to  4: 1
12 to  9: 3
19 to 15: 4
16 to 12: 2
14 to  7: 3
14 to  2: 4
10 to  3: 2
11 to 19: 2
 4 to  3: 1
 4 to 15: 3
 4 to  3: 1
 3 to 12: 3
16 to 13: 4
 1 to  9: 1
 2 to 15: 5
 5 to  6: 5
14 to 12: 4
13 to  5: 2
10 to  3: 2
12 to 17: 4
11 to 20: 3
 9 to  4: 2
 4 to  3: 1
 1 to  7: 4
 3 to 16: 3
16 to  7: 3
 2 to 16: 4
12 to  2: 5

Test Set #38
19 to 12: 2
20 to 12: 2
15 to 14: 4
16 to  4: 2
20 to  9: 2
 9 to  2: 4
19 to 17: 3
11 to 15: 1
19 to 17: 3
18 to 13: 4
 5 to  8: 2
14 to 18: 3
 3 to 19: 1
 3 to  7: 3
16 to 15: 4
19 to  2: 3
 3 to  2: 3
 9 to  1: 3
13 to  8: 2

Test Set #39
15 to 19: 2
12 to 13: 1
15 to 14: 4
 3 to 20: 1
 9 to 12: 3
16 to  8: 1
 5 to 12: 2
15 to 16: 1
15 to 16: 1
13 to  2: 4
 4 to 18: 3
 2 to 20: 2
11 to 18: 1
10 to  7: 2
 6 to 10: 1
 8 to 11: 2
10 to 16: 3
12 to  8: 2
 4 to 10: 3
19 to 13: 3
 3 to 11: 3
17 to 12: 2
 2 to  8: 2
15 to 17: 2
 7 to 17: 3
20 to  2: 2
11 to  5: 2
 2 to 12: 3

Test Set #40
 9 to 19: 5
19 to 16: 6
 7 to 18: 4
19 to 18: 7
 3 to  5: 3
 7 to  3: 5
 8 to  1: 2

Test Set #41
11 to  9: 1
14 to 10: 2
 8 to  7: 3
20 to 14: 3
 5 to  7: 3
 2 to  3: 1
 5 to 19: 2
12 to 18: 3
 4 to  3: 2

Test Set #42
16 to 20: 5
 8 to  1: 3
13 to  2: 1
18 to 20: 2
 4 to 20: 2
 6 to  7: 2
 8 to  4: 2
20 to 19: 3
 8 to  5: 1
 2 to 11: 2
 1 to  6: 3
20 to 15: 1
15 to 12: 2
16 to 14: 2
13 to 19: 2
 8 to 19: 3
 1 to 16: 5
11 to 16: 5
 7 to  2: 2
10 to  2: 3
12 to 15: 2
 4 to 14: 4
 6 to 15: 2
 4 to  6: 3
10 to 20: 4
10 to  1: 4
13 to 10: 4
11 to 15: 3
 6 to  9: 4
 1 to 17: 4
20 to  3: 2
 8 to 11: 2
14 to 20: 3
18 to 17: 4
 2 to 19: 1
13 to 19: 2
 1 to 13: 2
19 to 11: 3
 5 to 10: 3
19 to  6: 3
15 to 17: 4
14 to 16: 2
10 to  6: 3
12 to  8: 3
16 to 14: 2
 1 to  3: 3
13 to 18: 2
 6 to 17: 4
 6 to 19: 3
 7 to  6: 2
 7 to 19: 1
20 to 10: 4
 6 to  1: 3

Test Set #43
16 to 18: 3
 5 to  7: 3
 4 to  2: 3
 2 to  3: 3
19 to  4: 3
20 to 13: 2
 3 to  7: 3
10 to 20: 3
13 to 20: 2
10 to  2: 4
 5 to  9: 3
 6 to 18: 1
 7 to 19: 3
 2 to 14: 2
 4 to 19: 3
13 to 18: 3
 2 to 19: 2
10 to 14: 2
 8 to 14: 3
16 to 11: 3
15 to 17: 1
 5 to 16: 2
 8 to 13: 2
16 to  7: 2
18 to 16: 3
 3 to  8: 4
14 to  4: 1
 8 to 13: 2
 7 to  1: 2
10 to 15: 1
 7 to 10: 3
 6 to  8: 2
11 to 19: 4
14 to  9: 2
18 to 16: 3
 1 to 13: 3
18 to  5: 3
20 to 15: 2
18 to 20: 2
 5 to 17: 4
11 to 15: 4
 7 to  6: 1
 1 to  5: 3
 2 to  8: 3
10 to 14: 2
 9 to  4: 3
16 to 12: 3
13 to 14: 2
16 to  3: 2
10 to 14: 2
13 to  5: 3
 3 to 10: 4
16 to 12: 3
19 to  2: 2
 4 to 17: 3
 4 to 20: 2
 1 to 11: 4
15 to  2: 3
11 to  9: 4
20 to 13: 2
 4 to  6: 3
15 to  3: 3

Test Set #44
 4 to 12: 2
16 to  6: 2
17 to 12: 2
10 to  9: 2
 2 to  6: 2
10 to 15: 1
 2 to  9: 2
19 to 14: 3
 8 to 12: 3
 7 to 14: 3
 4 to  5: 2
17 to 14: 3
 6 to  8: 2
15 to  8: 2
 8 to  9: 3
 2 to  9: 2
11 to  3: 2
 7 to 16: 3
13 to 16: 3
11 to 17: 2
13 to 19: 3
16 to  7: 3
15 to  4: 3
 6 to 18: 2
12 to  4: 2
13 to  9: 2
15 to 11: 2
 1 to 13: 4
19 to 15: 3
14 to  8: 4
13 to  3: 2
 1 to  9: 3
 4 to 12: 2
 6 to  9: 1
 9 to 14: 2
11 to 16: 2
 1 to  4: 3
 6 to  2: 2
10 to 15: 1
20 to  1: 2
19 to 11: 3
15 to  5: 4
14 to  3: 3
11 to  3: 2
 8 to 10: 3
11 to  8: 3
19 to  3: 2
 9 to 17: 2
19 to 15: 3
13 to  2: 2
 6 to 13: 2
16 to  7: 3
 4 to  9: 1
 5 to 11: 3
 7 to  1: 1
 5 to 17: 3
 4 to 15: 3
14 to 18: 4
17 to  7: 3
11 to  1: 1
16 to 15: 4
 5 to 12: 3
 2 to  8: 1
17 to 19: 3
 3 to 11: 2
12 to  1: 3
13 to  8: 3
11 to 13: 3
10 to  9: 2
 5 to 19: 2
 4 to  2: 1
 9 to 16: 1
15 to 20: 1
16 to 20: 4
18 to 16: 3
 6 to 17: 1
10 to  9: 2
 8 to  2: 1
 1 to 12: 3
14 to 18: 4
 4 to  3: 1
 2 to 15: 3
 6 to  7: 3
17 to  6: 1
20 to  3: 3
16 to 15: 4
17 to  6: 1
 2 to  4: 1
 4 to 20: 3
 8 to 15: 2
 5 to 16: 2
17 to  4: 2
 2 to  9: 2
14 to 18: 4
 2 to 10: 3
10 to 17: 3
13 to 11: 3
17 to 10: 3
 8 to 15: 2

Test Set #45
16 to 11: 3
 5 to  2: 3
20 to 11: 3
 5 to  4: 1
 1 to  8: 3
19 to  6: 2
 4 to 18: 3
 8 to  5: 2
 2 to  7: 3
 8 to 13: 3
 4 to  7: 2
18 to 10: 4
 5 to 15: 5
 1 to  3: 2
 2 to  6: 2
11 to  7: 3
 9 to  2: 3
13 to 16: 2
 8 to 11: 2
10 to 16: 5
17 to 16: 4
14 to 13: 2
 6 to  2: 2
 3 to  1: 2
11 to  8: 2
14 to  8: 2
18 to  6: 3
 4 to  9: 3
 2 to 12: 1
17 to 10: 1
15 to 11: 4
11 to  1: 3
16 to 18: 3
 8 to 19: 3
 7 to 10: 4
 5 to 20: 4
 4 to  3: 3
20 to  2: 3
 1 to  8: 3
 8 to  3: 4
19 to  9: 1
10 to  6: 4
10 to 16: 5
 4 to 17: 2
 3 to 13: 4
15 to  5: 5
13 to 11: 2
10 to 18: 4
10 to  5: 4
13 to  6: 3
11 to 18: 4
 3 to  2: 3
11 to  3: 4
20 to 14: 2
12 to  7: 4
18 to  2: 3
 7 to  1: 3
10 to  2: 3
17 to 12: 1
 9 to 16: 3
20 to 11: 3
19 to 11: 3
 1 to 14: 1
 2 to  6: 2
10 to  5: 4
 3 to  8: 4
11 to 12: 4
14 to  3: 2
 7 to 13: 2
20 to 10: 2
 7 to 14: 2
13 to  7: 2
11 to 16: 3
19 to 15: 3
 5 to 10: 4
15 to  6: 3
15 to 17: 2
12 to  3: 2
11 to 12: 4
16 to 11: 3
 5 to  7: 1
17 to 20: 2

Test Set #46
 7 to 17: 3
 5 to  2: 3
16 to 14: 5
16 to 12: 5
17 to 20: 1
10 to 13: 5
 3 to 13: 2
 7 to 13: 3
13 to  1: 3
17 to 18: 3
20 to 15: 4
18 to  9: 4
18 to 13: 1
18 to  3: 3
 1 to 19: 4
12 to 18: 4
13 to 16: 2
 7 to 13: 3
19 to 13: 1
18 to  5: 3
 8 to 17: 3
10 to  4: 6
 2 to  5: 3

Test Set #47
14 to 12: 3
11 to 17: 3
16 to  4: 5
12 to 15: 3
19 to 10: 4
 9 to 16: 2
 4 to  5: 4
18 to  2: 3
 3 to  6: 2
20 to  7: 3
15 to 13: 1
 6 to  5: 4
17 to  3: 1
17 to  4: 3
14 to  9: 4
 3 to  1: 2
16 to 20: 4
 9 to  8: 5
19 to  2: 3
20 to  7: 3

Test Set #48
13 to  3: 2
 6 to 10: 3
 3 to 17: 3
16 to 20: 2
 9 to 17: 5
20 to 13: 2
 7 to 10: 4
20 to  4: 2
 6 to  4: 3
17 to  5: 4
 5 to 16: 3
10 to  8: 3
13 to  2: 3
19 to  3: 3
 8 to  3: 2
20 to 12: 3
 1 to 12: 2
 6 to 16: 3
15 to  5: 4
20 to  8: 1
 2 to  6: 3
 4 to 10: 2
12 to  1: 2
11 to  6: 2
13 to 17: 3
 2 to 12: 2
 2 to 17: 3
 7 to  9: 2
16 to 11: 1
 3 to  2: 3
13 to 15: 3
 1 to 12: 2
14 to 18: 3
19 to  6: 4
13 to  8: 2
11 to 19: 2
 9 to  6: 5
 6 to  8: 1
 3 to 20: 2
 4 to 17: 3
15 to 10: 4
10 to  3: 3
 4 to  8: 3
 7 to 13: 4
12 to 19: 1
12 to 13: 4
 3 to  2: 3
20 to  6: 2
18 to  5: 4
12 to 19: 1
 7 to  5: 1
15 to 14: 1
 7 to 12: 2
16 to 14: 2
15 to 14: 1
19 to 15: 2
11 to  4: 1
17 to 12: 4
 5 to  4: 5
12 to  1: 2
 8 to 13: 2
18 to  9: 4
 3 to 12: 2
17 to  9: 5
12 to 20: 3
19 to 11: 2
13 to  2: 3
15 to  6: 3
15 to 12: 1
 4 to 14: 4
17 to  7: 3
 4 to 10: 2
18 to  2: 2
19 to 16: 2
17 to 13: 3
17 to  9: 5
 5 to  6: 5
 2 to  6: 3
17 to  6: 3
20 to 18: 1
 9 to 19: 1
 2 to 13: 3

Test Set #49
 6 to  8: 3
 9 to 12: 3
12 to  4: 3
20 to 18: 2
 5 to 13: 3
14 to 11: 2
20 to  6: 3
11 to 16: 1
 9 to  3: 3
14 to 19: 1
20 to  2: 1
 1 to  9: 1
16 to  8: 3
 1 to 13: 3
17 to  3: 3
10 to  3: 1
20 to 14: 1
19 to  1: 2
11 to  5: 4
 3 to 17: 3
 2 to 11: 3
 7 to 17: 1
13 to 11: 3
 4 to 11: 3
15 to 10: 3
 6 to  3: 4
 2 to 20: 1
 8 to  6: 3
12 to  5: 3
10 to 20: 1
13 to 11: 3
 5 to 12: 3
10 to  5: 3
19 to 14: 1
14 to  5: 2
11 to  1: 1
 7 to 20: 2
 5 to 19: 3
19 to 13: 2
20 to 13: 2
11 to 13: 3
19 to  3: 1
16 to 15: 1
 3 to  8: 3
20 to 13: 2
19 to  2: 2
 7 to 17: 1
 5 to  9: 2
11 to  2: 3
 8 to 15: 2
 1 to  9: 1
 5 to 19: 3
 5 to  7: 2
11 to 18: 1
 3 to  2: 3
13 to 15: 3
 3 to 16: 3
 6 to 12: 3
 6 to 18: 3
 3 to 15: 3
 2 to  1: 3
 8 to  1: 2
 7 to  1: 3
10 to 16: 3
 7 to  8: 3
14 to  9: 1
15 to 17: 2
18 to 10: 2
 4 to 12: 3
17 to  5: 1
19 to 11: 1
 1 to 10: 3
 6 to 12: 3
15 to  2: 3
10 to 11: 3
12 to 20: 1
 3 to 11: 2
 1 to 13: 3
14 to 19: 1
 6 to 13: 3
14 to  6: 2
14 to 11: 2
11 to 14: 2
16 to 19: 2
12 to 14: 2
 9 to  6: 2
 6 to  4: 3
15 to  8: 2
16 to  3: 3
 7 to  8: 3
 3 to  7: 2
10 to 18: 2
16 to 19: 2
11 to  5: 4
 7 to  1: 3
15 to 11: 1
 8 to 16: 3
18 to 14: 1
11 to  5: 4

Test Set #50
20 to  2: 4
 4 to  2: 1
 5 to 19: 3
14 to  1: 3
18 to  6: 2
14 to 17: 1
10 to 19: 1
17 to 14: 1
10 to 18: 2
 2 to 16: 3
18 to  2: 2
12 to  6: 1
 7 to  3: 2
 2 to 17: 1
16 to  6: 2
10 to 20: 2
15 to  4: 3
14 to 15: 2
17 to  2: 1
 7 to  1: 2
12 to  7: 3
 4 to  6: 3
 1 to  6: 1
 8 to  1: 3
 2 to  6: 2
19 to 12: 3
18 to 15: 1
14 to  5: 3
10 to 11: 3
12 to  5: 2
 6 to  1: 1
15 to 12: 2
 1 to  4: 3
19 to  4: 3
13 to 19: 3
18 to 17: 2
15 to 11: 3
 4 to 20: 4
18 to 14: 2
17 to 18: 2
13 to 15: 3
 4 to 13: 4
13 to 14: 4
10 to  1: 3
11 to  2: 2
16 to  4: 4
20 to 15: 1
15 to 10: 1
 3 to  9: 2
17 to  2: 1
19 to  2: 2
 9 to 18: 1
 8 to 11: 3
 6 to 17: 2
 9 to 10: 2
14 to 15: 2
 8 to 10: 2
 6 to  3: 3
 3 to  2: 3
14 to 16: 3
18 to 20: 2
 7 to 18: 2
18 to  7: 2
12 to  3: 4
19 to 18: 2
12 to 19: 3
 1 to  4: 3
19 to  1: 2
11 to 10: 3
14 to 11: 2
10 to  5: 3
14 to 20: 3
 7 to 15: 1
12 to  3: 4
19 to  9: 1
18 to 14: 2
10 to  2: 3
 5 to 19: 3
17 to  2: 1
 5 to  7: 3
19 to  7: 1
10 to  7: 2
19 to 12: 3
 5 to  3: 4
 8 to  3: 3
 8 to 17: 2
 4 to  3: 4
 7 to 20: 2

Test Set #51
15 to  2: 5
 1 to  7: 1
 8 to  1: 4
12 to  4: 4
 4 to  5: 1
18 to  4: 1
 2 to 13: 3
14 to 11: 1
16 to  6: 3
 2 to 14: 4
 6 to 20: 2
 4 to  6: 1
17 to 16: 3
 4 to  7: 3
 4 to  1: 2
15 to  8: 3
 2 to 13: 3
18 to 17: 1
20 to  9: 1
 1 to 10: 4
18 to 19: 4
 1 to  2: 4
13 to 12: 5
 4 to 14: 2
 2 to 18: 1
 5 to  7: 2

Test Set #52
10 to  3: 2
 1 to 16: 1
 5 to 11: 1
10 to  7: 2
 2 to 16: 2
20 to 16: 2
 8 to 19: 5
 2 to 10: 3
 8 to 17: 3
11 to 15: 1
 6 to 17: 1
 9 to 15: 1
12 to 16: 1
 7 to 12: 2
 7 to 11: 4
 8 to 15: 4
 2 to 16: 2
17 to  8: 3
 1 to 17: 4
 1 to  3: 3
13 to  6: 3
 7 to 14: 1
 5 to  4: 4
10 to 11: 4
20 to  8: 3
 5 to 11: 1
 5 to 16: 2
 2 to 19: 1
 4 to  3: 4
 1 to 15: 2
19 to 20: 2
20 to 15: 3
12 to 14: 2
 6 to  3: 2
14 to  4: 2
11 to  5: 1
 9 to 10: 3
20 to  9: 2
 5 to  1: 2
 2 to 20: 1
13 to 20: 3
17 to 10: 1
 7 to  8: 1
 4 to 16: 3
10 to  5: 3
 3 to  6: 2
12 to  6: 3
 8 to 18: 2
13 to 10: 3
 2 to  5: 1
11 to 16: 2
19 to 10: 4
12 to  4: 3
20 to  8: 3
 9 to 12: 2
 6 to 15: 2
12 to  2: 3
15 to 18: 4
 8 to  6: 2
13 to  3: 4
19 to 14: 3
15 to 11: 1
13 to 12: 2
18 to 16: 2
12 to 16: 1
 5 to  4: 4
15 to  7: 3
19 to  4: 5
10 to  3: 2
 4 to 13: 3
14 to  7: 1
19 to  1: 2
17 to  2: 3
20 to  6: 1
 9 to 11: 2
18 to  2: 3
17 to 20: 2

Test Set #53
 8 to 12: 3
 4 to  3: 2
 1 to  9: 4
 5 to 16: 2
11 to  9: 3
 8 to  9: 3
 6 to 10: 2
10 to  9: 1
10 to 19: 3
 3 to 17: 4
 5 to 20: 1
 4 to  6: 1
11 to  7: 1
 1 to 14: 6
12 to 17: 2
10 to 13: 6
 9 to 11: 3
14 to 17: 2
 7 to 17: 2
 2 to 16: 4
13 to  5: 3
16 to 12: 4
 1 to  4: 2
14 to  4: 4
 9 to 17: 3
20 to 13: 3
13 to  1: 5
12 to 10: 5
10 to 16: 4
12 to 19: 3
 7 to 16: 3
 4 to  5: 1
 7 to  9: 2
 5 to 12: 2
 3 to  1: 4
 7 to  2: 3
 5 to 12: 2
 2 to 15: 3
18 to  1: 1
 4 to 12: 3
 5 to  7: 2
 7 to  1: 2
15 to 20: 2
12 to 14: 4
17 to  9: 3
14 to 12: 4
 3 to  4: 2
 1 to  8: 4
14 to 18: 5
20 to  3: 3
10 to 15: 3
 3 to 19: 4
19 to 11: 2
 5 to 14: 3
15 to 12: 3
18 to  9: 3
11 to  7: 1
16 to  4: 3
 1 to  3: 4
 8 to 20: 2
18 to 16: 4
15 to  1: 4
15 to  8: 1
 2 to  9: 1
 9 to  6: 1
 5 to 20: 1
 1 to  4: 2
18 to  2: 4
 1 to 15: 4
14 to 18: 5
16 to  4: 3
 8 to  1: 4
20 to  2: 4
15 to 10: 3
10 to  5: 3
 4 to 18: 1
18 to 20: 2
11 to 15: 2
16 to  6: 2
18 to  9: 3
13 to  1: 5
 6 to 13: 4
 6 to  9: 1
15 to 17: 3
18 to 20: 2
10 to  7: 3
18 to 14: 5
 9 to 14: 2
14 to 19: 1
 1 to 19: 5
14 to 18: 5
15 to 20: 2
10 to  8: 4
17 to  6: 3
 5 to  6: 1
10 to  6: 2
16 to 15: 1
 8 to 12: 3
14 to 13: 5

Test Set #54
 6 to 11: 3
10 to 11: 5
11 to 14: 2
 6 to 16: 3
16 to 15: 1
19 to  4: 3

Test Set #55
19 to  2: 2
 1 to 10: 2
 9 to  1: 3
 3 to  2: 1
18 to 15: 2
 1 to 12: 4
10 to  5: 3
10 to 19: 2
 9 to  4: 5
 4 to 10: 3
 4 to 16: 3
18 to 15: 2
14 to  4: 1
10 to  1: 2
13 to  7: 4
 9 to  4: 5
17 to  2: 3
17 to  2: 3
 9 to 18: 3
13 to  2: 3
15 to  1: 3
 3 to  4: 3
 7 to 14: 3
15 to 19: 3
11 to  5: 1
12 to 18: 3
 8 to 16: 3
 1 to  6: 3
12 to 14: 1
13 to 17: 5
14 to  9: 4
11 to  5: 1
 9 to  6: 2
16 to  7: 4
 1 to  7: 5
 6 to 16: 2
12 to 15: 2
 2 to 12: 3
10 to 17: 3
 9 to 18: 3
14 to  8: 2
20 to 14: 1
11 to  2: 4
13 to  2: 3
17 to  7: 4
14 to 20: 1
 5 to 16: 5
19 to  5: 5
 9 to  7: 4

Test Set #56
16 to  9: 2
 9 to  8: 3
 5 to  1: 1
 9 to 10: 3
18 to  2: 2
16 to 13: 4
 9 to 10: 3
20 to 14: 3
 7 to 14: 2
12 to 15: 1
 4 to 15: 3
12 to 15: 1
 9 to 16: 2
17 to  7: 3
17 to 20: 2
 3 to 18: 3
19 to  8: 1
17 to  9: 2
20 to 19: 1
12 to 17: 3
 4 to 17: 3
 4 to 13: 4
 2 to  5: 1
 6 to  3: 4

Test Set #57
 2 to  5: 1
10 to  1: 7
10 to  1: 7
 6 to 18: 4
 7 to 13: 5
 4 to 19: 2
19 to  4: 2
 3 to  9: 2
10 to 12: 5
 7 to  9: 4
11 to  7: 5
 7 to 16: 6
16 to 15: 1
 3 to 12: 2
 3 to 14: 1
18 to  3: 1
17 to  5: 5
13 to  1: 4
 2 to 13: 4
16 to  2: 5
13 to  2: 4
 1 to  4: 4
 1 to 14: 4
18 to  7: 3
12 to  6: 3
 3 to 19: 1
 9 to 14: 3
15 to  4: 4
 6 to 10: 7
12 to 14: 3
 4 to 12: 3
18 to  8: 3
12 to 16: 3
13 to  7: 5
18 to 17: 6
11 to 19: 2
12 to 15: 2
15 to 12: 2
 9 to 16: 6
13 to  7: 5
19 to 16: 3
 7 to 19: 3
17 to 12: 4
 4 to  8: 3
11 to  9: 5
16 to 10: 2
 7 to  6: 5
15 to  3: 3
14 to 20: 4
 1 to  5: 1
10 to 20: 6
 7 to 17: 7
 7 to  1: 5
17 to  4: 6
 2 to  6: 2
20 to  4: 4
13 to  6: 4
13 to 16: 4
 2 to  1: 2
12 to  1: 3
12 to  3: 2
 3 to  8: 2
19 to 18: 2
19 to 14: 2
10 to  6: 7
 5 to 14: 3
15 to  9: 5
16 to  2: 5

Test Set #58
11 to 16: 1
18 to 10: 3
15 to  8: 5
17 to 20: 2
19 to 11: 2
16 to 19: 1
11 to 17: 2
 5 to 16: 3
12 to 19: 3
 4 to  2: 5
15 to  8: 5
 5 to  2: 2
 1 to  9: 7
19 to 10: 4
 3 to 13: 6
16 to 17: 1
20 to 18: 2
19 to  5: 4
 8 to  4: 6
 4 to 13: 3
 2 to  3: 5
19 to 10: 4
17 to 11: 2
17 to 14: 5
14 to 20: 5
 5 to  4: 5
 6 to 10: 3
11 to  5: 4
 1 to 20: 5
11 to  3: 7
 7 to 14: 3
10 to  9: 1
16 to  6: 5
 8 to  9: 3
11 to 14: 7
 1 to 15: 7
14 to 13: 4
16 to  3: 6
 1 to 19: 5
16 to 10: 4
 9 to 13: 3
 9 to  5: 4
15 to 12: 5
12 to  1: 2
13 to 14: 4
 6 to 13: 5
20 to  4: 2
10 to  2: 5
 4 to  5: 5
15 to 13: 3
 7 to 14: 3
19 to  3: 7
20 to  5: 4
15 to 13: 3

Test Set #59
16 to 15: 1
 8 to 18: 4
 7 to 19: 4
